id_lancamento;descricao;tipo_operacao;valor;data_vencimento;data_pagamento;status;forma_pagamento;documento_titular
83001;Lancamento do integrante Lucas Freitas lote C;R;293.00;05/01/2026;04/01/2026;PAGO;PIX;30687197988
83002;Lancamento do integrante David Oliveira lote C;P;294.00;08/01/2026;;PENDENTE;BOLETO;05406806130
83003;Lancamento do integrante Ricardo Gabriel lote C;R;295.00;11/01/2026;10/01/2026;PAGO;CARTAO_CREDITO;84666289240
83004;Lancamento do integrante Maria Eduarda Viana lote C;P;296.00;14/01/2026;;PENDENTE;TRANSFERENCIA;32424440786
83005;Faturamento lote C valor com virgula;R;99,99;12/03/2026;13/03/2026;PAGO;PIX;15650953910
83006;Honorarios lote C valor monetario;P;R$ 15.420,00;20/04/2026;21/04/2026;PAGO;BOLETO;63288595206
83007;Licenca ERP lote C primeira ocorrencia;R;918.30;05/05/2026;;PENDENTE;CARTAO_CREDITO;01908137410
83007;Manutencao dedicada lote C segunda ocorrencia;P;1883.70;18/06/2026;19/06/2026;CANCELADO;TRANSFERENCIA;68814884595
83008;Frete expresso lote C data invalida;R;648.30;32/14/2026;;PENDENTE;DINHEIRO;54615211503
83009;Cobranca com e-mail invalido pedro@ lote C;R;308.20;08/07/2026;;PENDENTE;PIX;80234149680
83010 ;  Assessoria Juridica lote C  ; P ; 2148.30 ; 11/08/2026 ;  ; PENDENTE ; BOLETO ; 74470216445
83011;Honorários Conceição Alves - São Luís / Vitória;R;1568.55;22/09/2026;;PENDENTE;CARTAO_CREDITO;23847393529
83012;Repasse operacional lote C booleano;SIM;4083.90;03/10/2026;04/10/2026;true;NAO;54316012886
83013;Cobranca extraordinaria lote C nulos;P;741.50;N/A;-;NULL;null;57290353226

83014;Titulo financeiro lote C sequencia 14;P;217.00;15/02/2026;;CANCELADO;DINHEIRO;35268172603
83015;Titulo financeiro lote C sequencia 15;R;218.00;16/02/2026;15/02/2026;PAGO;PIX;28797342661
