id_lancamento;descricao;tipo_operacao;valor;data_vencimento;data_pagamento;status;forma_pagamento;documento_titular
5008;Venda de Insumos para Distribuição #5008;R;13367.04;24/09/2026;;PENDENTE;PIX;82117740626
5161;Honorários de Assessoria Contábil #5161;P;7901.42;19/09/2026;11/09/2026;PAGO;BOLETO;95306787118
5080;Pagamento de Infraestrutura em Nuvem #5080;P;3292.07;08/10/2026;;PENDENTE;PIX;37619356177
5171;Contrato de Consultoria Empresarial #5171;R;4540.30;24/09/2026;;PENDENTE;TRANSFERENCIA;82384322516
5092;Aquisição de Equipamentos de Informática #5092;P;10812.60;19/09/2026;11/09/2026;PAGO;TRANSFERENCIA;34367415074
5124;Despesas com Telefonia e Link Dedicado #5124;P;10689.53;10/10/2026;;PENDENTE;TRANSFERENCIA;91348228369
5049;Aquisição de Equipamentos de Informática #5049;P;3998.99;23/09/2026;;PENDENTE;PIX;14137258481
5071;Faturamento de Pedido E-commerce #5071;R;13393.86;04/10/2026;;PENDENTE;PIX;04720874959
5075;Despesas com Telefonia e Link Dedicado #5075;P;7938.74;27/09/2026;11/09/2026;PAGO;BOLETO;69569078286
5101;Aquisição de Equipamentos de Informática #5101;P;8155.01;27/09/2026;11/09/2026;PAGO;PIX;82368257365
5021;Recebimento de Honorários Técnicos #5021;R;11772.81;04/10/2026;;PENDENTE;BOLETO;78553016315
5015;Contrato de Consultoria Empresarial #5015;R;14701.41;15/09/2026;;PENDENTE;TRANSFERENCIA;93744753247
5128;Venda de Insumos para Distribuição #5128;R;12945.00;25/09/2026;;PENDENTE;TRANSFERENCIA;34999296438
5077;Venda de Insumos para Distribuição #5077;R;14927.70;09/10/2026;11/09/2026;PAGO;PIX;92912793319
5111;Venda de Insumos para Distribuição #5111;R;10035.75;16/09/2026;11/09/2026;PAGO;CARTAO_CREDITO;02979971731
5108;Manutenção Preventiva de Servidores #5108;P;1047.38;28/09/2026;11/09/2026;PAGO;TRANSFERENCIA;41267375370
5180;Honorários de Assessoria Contábil #5180;P;4906.82;04/10/2026;;PENDENTE;BOLETO;60428066100
5117;Pagamento de Infraestrutura em Nuvem #5117;P;9753.21;20/09/2026;11/09/2026;PAGO;PIX;57541096873
5129;Recebimento de Prestação de Serviços #5129;R;1345.20;20/09/2026;;PENDENTE;CARTAO_CREDITO;34040478266
5059;Contrato de Consultoria Empresarial #5059;R;8837.70;25/09/2026;11/09/2026;PAGO;TRANSFERENCIA;27059670440
5168;Aquisição de Equipamentos de Informática #5168;P;6678.87;05/10/2026;;PENDENTE;CARTAO_CREDITO;60279556942
5138;Licenciamento de Software ERP SaaS #5138;R;1802.17;08/10/2026;;PENDENTE;CARTAO_CREDITO;64426058767
5100;Contrato de Consultoria Empresarial #5100;R;10073.25;22/09/2026;;PENDENTE;TRANSFERENCIA;17103665672
