id_lancamento;descricao;tipo_operacao;valor;data_vencimento;data_pagamento;status;forma_pagamento;documento_titular
81001;Lancamento do integrante Lucas Freitas lote A;R;291.00;05/01/2026;04/01/2026;PAGO;PIX;43652427769
81002;Lancamento do integrante David Oliveira lote A;P;292.00;08/01/2026;;PENDENTE;BOLETO;60134487443
81003;Lancamento do integrante Ricardo Gabriel lote A;R;293.00;11/01/2026;10/01/2026;PAGO;CARTAO_CREDITO;45590154146
81004;Lancamento do integrante Maria Eduarda Viana lote A;P;294.00;14/01/2026;;PENDENTE;TRANSFERENCIA;38956146969
81005;Faturamento lote A valor com virgula;R;1250,50;12/03/2026;13/03/2026;PAGO;PIX;94624185862
81006;Honorarios lote A valor monetario;P;R$ 1.250,50;20/04/2026;21/04/2026;PAGO;BOLETO;26045455436
81007;Licenca ERP lote A primeira ocorrencia;R;918.10;05/05/2026;;PENDENTE;CARTAO_CREDITO;11534890580
81007;Manutencao dedicada lote A segunda ocorrencia;P;1883.50;18/06/2026;19/06/2026;CANCELADO;TRANSFERENCIA;04473715841
81008;Frete expresso lote A data invalida;R;648.10;ABC;;PENDENTE;DINHEIRO;31236735455
81009;Cobranca com e-mail invalido contato@ lote A;R;308.00;08/07/2026;;PENDENTE;PIX;38479007656
81010 ;  Assessoria Juridica lote A  ; P ; 2148.10 ; 11/08/2026 ;  ; PENDENTE ; BOLETO ; 81882383923
81011;Pagamento João da Silva - Filial Goiânia / São Paulo;R;1568.35;22/09/2026;;PENDENTE;CARTAO_CREDITO;32615090313
81012;Repasse operacional lote A booleano;true;4083.70;03/10/2026;04/10/2026;SIM;false;12431739805
81013;Cobranca extraordinaria lote A nulos;P;741.30;null;NULL;N/A;-;37402795241

81014;Titulo financeiro lote A sequencia 14;P;215.00;15/02/2026;;CANCELADO;DINHEIRO;11432895524
81015;Titulo financeiro lote A sequencia 15;R;216.00;16/02/2026;15/02/2026;PAGO;PIX;03234488010
81016;Titulo financeiro lote A sequencia 16;P;217.00;17/02/2026;;PENDENTE;BOLETO;74277455077
81017;Titulo financeiro lote A sequencia 17;R;218.00;18/02/2026;;PENDENTE;CARTAO_CREDITO;47502985654
81018;Titulo financeiro lote A sequencia 18;P;219.00;19/02/2026;;PENDENTE;TRANSFERENCIA;67118684805
81019;Titulo financeiro lote A sequencia 19;R;220.00;20/02/2026;;PENDENTE;DINHEIRO;70295553928
81020;Titulo financeiro lote A sequencia 20;P;221.00;21/02/2026;20/02/2026;PAGO;PIX;04660690300
81021;Titulo financeiro lote A sequencia 21;R;222.00;22/02/2026;;CANCELADO;BOLETO;67165234136
81022;Titulo financeiro lote A sequencia 22;P;223.00;23/02/2026;;PENDENTE;CARTAO_CREDITO;71513238752
81023;Titulo financeiro lote A sequencia 23;R;224.00;24/02/2026;;PENDENTE;TRANSFERENCIA;45971190199
81024;Titulo financeiro lote A sequencia 24;P;225.00;25/02/2026;;PENDENTE;DINHEIRO;49859785236
81025;Titulo financeiro lote A sequencia 25;R;226.00;26/02/2026;25/02/2026;PAGO;PIX;46643225183
81026;Titulo financeiro lote A sequencia 26;P;227.00;27/02/2026;;PENDENTE;BOLETO;18317258947
81027;Titulo financeiro lote A sequencia 27;R;228.00;28/02/2026;;PENDENTE;CARTAO_CREDITO;12838233572
81028;Titulo financeiro lote A sequencia 28;P;229.00;01/03/2026;;CANCELADO;TRANSFERENCIA;17152405450
81029;Titulo financeiro lote A sequencia 29;R;230.00;02/03/2026;;PENDENTE;DINHEIRO;62124971689
81030;Titulo financeiro lote A sequencia 30;P;231.00;03/03/2026;02/03/2026;PAGO;PIX;78290313390
81031;Titulo financeiro lote A sequencia 31;R;232.00;04/03/2026;;PENDENTE;BOLETO;40219407908
81032;Titulo financeiro lote A sequencia 32;P;233.00;05/03/2026;;PENDENTE;CARTAO_CREDITO;44162199205
81033;Titulo financeiro lote A sequencia 33;R;234.00;06/03/2026;;PENDENTE;TRANSFERENCIA;33825211568
81034;Titulo financeiro lote A sequencia 34;P;235.00;07/03/2026;;PENDENTE;DINHEIRO;37550575657
81035;Titulo financeiro lote A sequencia 35;R;236.00;08/03/2026;07/03/2026;PAGO;PIX;70585116750
