id_lancamento;descricao;tipo_operacao;valor;data_vencimento;data_pagamento;status;forma_pagamento;documento_titular
5067;Assinatura Mensal de Plataforma Web #5067;R;11365.15;10/10/2026;;PENDENTE;CARTAO_CREDITO;15866305984
5179;Licenciamento de Software ERP SaaS #5179;R;1650.14;30/09/2026;11/09/2026;PAGO;TRANSFERENCIA;89351938794
5020;Contrato de Consultoria Empresarial #5020;R;2451.38;09/10/2026;;PENDENTE;CARTAO_CREDITO;45031189436
5070;Pagamento de Infraestrutura em Nuvem #5070;P;8601.48;21/09/2026;;PENDENTE;BOLETO;22103481887
5173;Manutenção Preventiva de Servidores #5173;P;7794.63;17/09/2026;;PENDENTE;TRANSFERENCIA;71346256136
5170;Aquisição de Equipamentos de Informática #5170;P;2366.79;10/10/2026;11/09/2026;PAGO;CARTAO_CREDITO;57987242551
5090;Aquisição de Equipamentos de Informática #5090;P;6911.65;24/09/2026;;PENDENTE;PIX;54443720103
5081;Aquisição de Equipamentos de Informática #5081;P;14959.03;03/10/2026;11/09/2026;PAGO;PIX;77728688200
5101;Honorários de Assessoria Contábil #5101;P;10802.50;02/10/2026;;PENDENTE;PIX;30190171731
5160;Fornecimento de Energia Elétrica Comercial #5160;P;3284.82;13/09/2026;11/09/2026;PAGO;BOLETO;52628763745
5077;Recebimento de Prestação de Serviços #5077;R;6413.21;08/10/2026;;PENDENTE;PIX;49178972035
5004;Venda de Insumos para Distribuição #5004;R;4482.90;16/09/2026;;PENDENTE;TRANSFERENCIA;65979964703
5136;Assinatura Mensal de Plataforma Web #5136;R;13700.22;30/09/2026;;PENDENTE;CARTAO_CREDITO;84008048561
5104;Aquisição de Equipamentos de Informática #5104;P;2656.35;10/10/2026;;PENDENTE;CARTAO_CREDITO;60986990973
5114;Recebimento de Honorários Técnicos #5114;R;4692.54;27/09/2026;;PENDENTE;TRANSFERENCIA;93856425535
5167;Recebimento de Prestação de Serviços #5167;R;7211.25;13/09/2026;;PENDENTE;CARTAO_CREDITO;47739694231
5022;Serviço de Logística e Entrega Expressa #5022;P;9355.62;20/09/2026;;PENDENTE;BOLETO;13578922927
5084;Serviço de Logística e Entrega Expressa #5084;P;12874.35;13/09/2026;;PENDENTE;TRANSFERENCIA;45985693015
5145;Recebimento de Prestação de Serviços #5145;R;7882.56;11/10/2026;11/09/2026;PAGO;PIX;44386318402
5042;Faturamento de Pedido E-commerce #5042;R;5441.88;25/09/2026;11/09/2026;PAGO;PIX;51301243914
5054;Fornecimento de Energia Elétrica Comercial #5054;P;8487.77;25/09/2026;;PENDENTE;PIX;50682032468
5159;Serviço de Logística e Entrega Expressa #5159;P;4688.73;26/09/2026;;PENDENTE;BOLETO;56144844856
5126;Honorários de Assessoria Contábil #5126;P;8127.26;12/09/2026;;PENDENTE;TRANSFERENCIA;10105911348
5157;Honorários de Assessoria Contábil #5157;P;3542.44;22/09/2026;11/09/2026;PAGO;PIX;39767999809
5133;Fornecimento de Energia Elétrica Comercial #5133;P;5128.88;24/09/2026;;PENDENTE;CARTAO_CREDITO;39501784061
5144;Aquisição de Equipamentos de Informática #5144;P;6122.18;28/09/2026;11/09/2026;PAGO;CARTAO_CREDITO;27259416440
5006;Faturamento de Pedido E-commerce #5006;R;8474.85;20/09/2026;;PENDENTE;PIX;13721186168
5150;Serviço de Logística e Entrega Expressa #5150;P;5285.84;26/09/2026;;PENDENTE;BOLETO;73553667770
5086;Faturamento de Pedido E-commerce #5086;R;6358.74;09/10/2026;;PENDENTE;BOLETO;43440335585
5099;Licenciamento de Software ERP SaaS #5099;R;1446.23;06/10/2026;;PENDENTE;CARTAO_CREDITO;13938503831
5015;Pagamento de Licença de Banco de Dados #5015;P;7688.96;16/09/2026;;PENDENTE;BOLETO;14629227245
5048;Honorários de Assessoria Contábil #5048;P;8661.95;24/09/2026;11/09/2026;PAGO;CARTAO_CREDITO;56402513954
5110;Faturamento de Pedido E-commerce #5110;R;6272.95;23/09/2026;;PENDENTE;PIX;91685266282
5053;Recebimento de Honorários Técnicos #5053;R;6281.34;26/09/2026;;PENDENTE;BOLETO;93945423619
5180;Recebimento de Prestação de Serviços #5180;R;9582.35;15/09/2026;11/09/2026;PAGO;BOLETO;15004036365
5100;Despesas com Telefonia e Link Dedicado #5100;P;2298.22;03/10/2026;;PENDENTE;PIX;86730200855
5142;Despesas com Telefonia e Link Dedicado #5142;P;7545.76;06/10/2026;;PENDENTE;TRANSFERENCIA;37053244890
5161;Assinatura Mensal de Plataforma Web #5161;R;5746.63;26/09/2026;11/09/2026;PAGO;CARTAO_CREDITO;54360091230
5045;Recebimento de Prestação de Serviços #5045;R;9463.19;17/09/2026;;PENDENTE;PIX;75236825610
5091;Faturamento de Pedido E-commerce #5091;R;14581.75;15/09/2026;11/09/2026;PAGO;PIX;14955928200
5009;Fornecimento de Energia Elétrica Comercial #5009;P;3543.58;12/09/2026;;PENDENTE;CARTAO_CREDITO;75712814315
5016;Venda de Insumos para Distribuição #5016;R;14172.10;27/09/2026;;PENDENTE;CARTAO_CREDITO;08112006121
5071;Contrato de Consultoria Empresarial #5071;R;986.32;03/10/2026;;PENDENTE;PIX;08140989088
5108;Fornecimento de Energia Elétrica Comercial #5108;P;1778.73;25/09/2026;;PENDENTE;TRANSFERENCIA;28668386450
5002;Recebimento de Prestação de Serviços #5002;R;3468.51;10/10/2026;11/09/2026;PAGO;CARTAO_CREDITO;52353221939
5177;Honorários de Assessoria Contábil #5177;P;4054.72;16/09/2026;;PENDENTE;BOLETO;89185448982
5038;Pagamento de Licença de Banco de Dados #5038;P;10094.73;16/09/2026;;PENDENTE;PIX;06476248421
5131;Pagamento de Licença de Banco de Dados #5131;P;9711.38;04/10/2026;;PENDENTE;CARTAO_CREDITO;80033875740
5010;Licenciamento de Software ERP SaaS #5010;R;12849.81;15/09/2026;;PENDENTE;TRANSFERENCIA;15350395076
5073;Recebimento de Prestação de Serviços #5073;R;7106.47;29/09/2026;;PENDENTE;PIX;95882994381
5132;Pagamento de Infraestrutura em Nuvem #5132;P;7647.15;09/10/2026;;PENDENTE;TRANSFERENCIA;76667653630
5029;Pagamento de Licença de Banco de Dados #5029;P;3318.51;29/09/2026;;PENDENTE;CARTAO_CREDITO;19914969151
5129;Fornecimento de Energia Elétrica Comercial #5129;P;5107.75;08/10/2026;11/09/2026;PAGO;BOLETO;68524641800
5112;Honorários de Assessoria Contábil #5112;P;3337.11;15/09/2026;;PENDENTE;CARTAO_CREDITO;87221850704
5168;Despesas com Telefonia e Link Dedicado #5168;P;8727.42;25/09/2026;;PENDENTE;BOLETO;89950192471
5023;Faturamento de Pedido E-commerce #5023;R;6515.89;17/09/2026;;PENDENTE;PIX;12747389979
5036;Manutenção Preventiva de Servidores #5036;P;13911.62;04/10/2026;;PENDENTE;BOLETO;26279656209
5094;Assinatura Mensal de Plataforma Web #5094;R;10441.57;24/09/2026;;PENDENTE;TRANSFERENCIA;34460118203
5102;Aquisição de Equipamentos de Informática #5102;P;4883.57;09/10/2026;;PENDENTE;BOLETO;15713724310
5169;Pagamento de Infraestrutura em Nuvem #5169;P;662.01;13/09/2026;11/09/2026;PAGO;PIX;53103584806
5076;Assinatura Mensal de Plataforma Web #5076;R;11680.71;24/09/2026;11/09/2026;PAGO;BOLETO;31926182308
5107;Honorários de Assessoria Contábil #5107;P;6147.29;07/10/2026;;PENDENTE;BOLETO;99226421900
5113;Fornecimento de Energia Elétrica Comercial #5113;P;983.31;04/10/2026;11/09/2026;PAGO;TRANSFERENCIA;30049088670
5032;Venda de Insumos para Distribuição #5032;R;176.50;15/09/2026;;PENDENTE;PIX;61882257600
5106;Serviço de Logística e Entrega Expressa #5106;P;11269.59;17/09/2026;;PENDENTE;PIX;97062679305
5105;Faturamento de Pedido E-commerce #5105;R;2083.81;02/10/2026;11/09/2026;PAGO;TRANSFERENCIA;21246620405
5115;Despesas com Telefonia e Link Dedicado #5115;P;6674.39;02/10/2026;11/09/2026;PAGO;PIX;98845394131
5024;Faturamento de Vendas de Produtos #5024;R;9506.46;19/09/2026;11/09/2026;PAGO;CARTAO_CREDITO;26385792200
5013;Pagamento de Infraestrutura em Nuvem #5013;P;5457.36;11/10/2026;;PENDENTE;CARTAO_CREDITO;79341307163
5135;Despesas com Telefonia e Link Dedicado #5135;P;6533.75;10/10/2026;;PENDENTE;BOLETO;41845094280
5041;Honorários de Assessoria Contábil #5041;P;12364.09;24/09/2026;;PENDENTE;CARTAO_CREDITO;25121005377
5127;Licenciamento de Software ERP SaaS #5127;R;4146.46;10/10/2026;;PENDENTE;PIX;37877298790
5027;Manutenção Preventiva de Servidores #5027;P;4933.74;10/10/2026;11/09/2026;PAGO;PIX;20754317447
5049;Faturamento de Pedido E-commerce #5049;R;865.04;10/10/2026;;PENDENTE;CARTAO_CREDITO;53145543725
5089;Licenciamento de Software ERP SaaS #5089;R;2371.00;05/10/2026;;PENDENTE;CARTAO_CREDITO;64445094919
5085;Assinatura Mensal de Plataforma Web #5085;R;696.02;19/09/2026;11/09/2026;PAGO;CARTAO_CREDITO;13110097281
5120;Despesas com Telefonia e Link Dedicado #5120;P;1161.99;30/09/2026;11/09/2026;PAGO;PIX;31817555910
5124;Manutenção Preventiva de Servidores #5124;P;8685.07;13/09/2026;;PENDENTE;PIX;30630423580
5051;Pagamento de Licença de Banco de Dados #5051;P;11039.00;21/09/2026;;PENDENTE;CARTAO_CREDITO;27657998067
5148;Recebimento de Prestação de Serviços #5148;R;2536.71;06/10/2026;;PENDENTE;BOLETO;80717784860
5014;Assinatura Mensal de Plataforma Web #5014;R;9899.80;22/09/2026;11/09/2026;PAGO;PIX;81133532160
5149;Faturamento de Vendas de Produtos #5149;R;2281.09;12/09/2026;11/09/2026;PAGO;TRANSFERENCIA;52606662083
5065;Faturamento de Pedido E-commerce #5065;R;6175.52;23/09/2026;;PENDENTE;PIX;38531781035
5026;Despesas com Telefonia e Link Dedicado #5026;P;10819.72;25/09/2026;;PENDENTE;CARTAO_CREDITO;64855736074
5137;Fornecimento de Energia Elétrica Comercial #5137;P;1742.45;08/10/2026;;PENDENTE;CARTAO_CREDITO;59070054167
5040;Honorários de Assessoria Contábil #5040;P;265.92;06/10/2026;11/09/2026;PAGO;BOLETO;64065047048
5055;Pagamento de Licença de Banco de Dados #5055;P;14784.38;13/09/2026;;PENDENTE;BOLETO;60085017728
5138;Serviço de Logística e Entrega Expressa #5138;P;14297.50;13/09/2026;;PENDENTE;CARTAO_CREDITO;34984980451
5005;Pagamento de Licença de Banco de Dados #5005;P;9481.88;09/10/2026;11/09/2026;PAGO;PIX;03319929305
5008;Serviço de Logística e Entrega Expressa #5008;P;5803.75;08/10/2026;;PENDENTE;PIX;59977049556
5080;Venda de Insumos para Distribuição #5080;R;7235.04;19/09/2026;;PENDENTE;TRANSFERENCIA;91071632159
5096;Aquisição de Equipamentos de Informática #5096;P;2891.62;03/10/2026;;PENDENTE;TRANSFERENCIA;69993547158
5028;Contrato de Consultoria Empresarial #5028;R;9559.07;27/09/2026;;PENDENTE;BOLETO;36776856133
5060;Despesas com Telefonia e Link Dedicado #5060;P;10852.34;05/10/2026;11/09/2026;PAGO;TRANSFERENCIA;21834357632
5116;Serviço de Logística e Entrega Expressa #5116;P;9204.74;11/10/2026;;PENDENTE;PIX;06553206520
5128;Pagamento de Infraestrutura em Nuvem #5128;P;2417.91;15/09/2026;;PENDENTE;BOLETO;65387932741
5034;Faturamento de Vendas de Produtos #5034;R;11119.16;18/09/2026;;PENDENTE;TRANSFERENCIA;60005052050
5046;Honorários de Assessoria Contábil #5046;P;5937.14;29/09/2026;11/09/2026;PAGO;PIX;54448992802
5092;Honorários de Assessoria Contábil #5092;P;2063.48;09/10/2026;;PENDENTE;BOLETO;27968953782
5039;Pagamento de Licença de Banco de Dados #5039;P;8818.94;09/10/2026;;PENDENTE;CARTAO_CREDITO;32681636370
5061;Pagamento de Infraestrutura em Nuvem #5061;P;10481.52;29/09/2026;;PENDENTE;TRANSFERENCIA;94017146147
5103;Contrato de Consultoria Empresarial #5103;R;10462.23;14/09/2026;;PENDENTE;CARTAO_CREDITO;13249362158
5139;Recebimento de Honorários Técnicos #5139;R;4760.64;16/09/2026;11/09/2026;PAGO;BOLETO;55064330260
5123;Serviço de Logística e Entrega Expressa #5123;P;221.45;01/10/2026;;PENDENTE;PIX;34268171282
5072;Despesas com Telefonia e Link Dedicado #5072;P;695.56;13/09/2026;;PENDENTE;CARTAO_CREDITO;51216307350
5059;Honorários de Assessoria Contábil #5059;P;10403.21;01/10/2026;11/09/2026;PAGO;TRANSFERENCIA;49800745106
5021;Faturamento de Vendas de Produtos #5021;R;5721.72;27/09/2026;;PENDENTE;BOLETO;26934237919
5082;Venda de Insumos para Distribuição #5082;R;10110.36;02/10/2026;;PENDENTE;BOLETO;81234791072
5078;Serviço de Logística e Entrega Expressa #5078;P;255.52;18/09/2026;;PENDENTE;BOLETO;75453021764
5122;Assinatura Mensal de Plataforma Web #5122;R;3467.62;20/09/2026;;PENDENTE;BOLETO;18142090422
5031;Despesas com Telefonia e Link Dedicado #5031;P;13925.71;24/09/2026;;PENDENTE;CARTAO_CREDITO;06282559936
5037;Honorários de Assessoria Contábil #5037;P;8828.30;27/09/2026;;PENDENTE;CARTAO_CREDITO;89381607001
